date,open,high,low,close
2017-07-01 11-AM,2505.56,2513.38,2495.12,2509.17
2017-07-01 12-PM,2509.17,2512.87,2484.99,2488.43
2017-07-01 01-PM,2488.43,2488.43,2454.4,2454.43
2017-07-01 02-PM,2454.43,2473.93,2450.83,2459.35
2017-07-01 03-PM,2459.35,2475,2450,2467.83
2017-07-01 04-PM,2467.83,2469.99,2450,2460.01
2017-07-01 05-PM,2460.01,2460.68,2428.03,2445.99
2017-07-01 06-PM,2445.99,2455.86,2414,2425.94
2017-07-01 07-PM,2425.94,2437.86,2406.44,2435.99
2017-07-01 08-PM,2435.99,2438.95,2404.61,2408.25
2017-07-01 09-PM,2408.25,2420,2401,2416.62
2017-07-01 10-PM,2416.62,2425,2400,2424.99
2017-07-01 11-PM,2424.99,2431.94,2414.8,2423.63
2017-07-02 12-AM,2423.63,2426,2389.99,2391.87
2017-07-02 01-AM,2391.87,2419.9,2385,2409.9
2017-07-02 02-AM,2409.9,2411,2385.52,2407.81
2017-07-02 03-AM,2407.81,2410,2397.63,2404.99
2017-07-02 04-AM,2404.99,2412,2398.36,2412
2017-07-02 05-AM,2412,2439.99,2411.99,2439.97
2017-07-02 06-AM,2439.97,2439.99,2415.19,2421.55
2017-07-02 07-AM,2421.55,2439.97,2418.33,2431.95
2017-07-02 08-AM,2431.95,2461.99,2428.98,2461.99
2017-07-02 09-AM,2461.99,2461.99,2450,2457.54
2017-07-02 10-AM,2457.54,2457.54,2427.87,2436.07
2017-07-02 11-AM,2436.07,2450,2427.76,2449.6
2017-07-02 12-PM,2449.6,2450.03,2431.65,2440.87
2017-07-02 01-PM,2440.87,2450.35,2429.9,2435.62
2017-07-02 02-PM,2435.62,2444.29,2425.43,2442.99
2017-07-02 03-PM,2442.99,2463.86,2442.99,2463.86
2017-07-02 04-PM,2463.86,2479.25,2462.17,2476.41
2017-07-02 05-PM,2476.41,2507.54,2474.23,2496.37
2017-07-02 06-PM,2496.37,2526.72,2490,2490.08
2017-07-02 07-PM,2490.08,2506.11,2478.43,2492.61
2017-07-02 08-PM,2492.61,2504.41,2488.01,2504.09
2017-07-02 09-PM,2504.09,2525,2495.56,2525
2017-07-02 10-PM,2525,2525,2506,2517.01
2017-07-02 11-PM,2517.01,2545,2507.57,2516.66
2017-07-03 12-AM,2516.66,2519.9,2499.2,2500.97
2017-07-03 01-AM,2500.97,2501,2495.36,2500
2017-07-03 02-AM,2500,2501,2490.32,2491.4
2017-07-03 03-AM,2491.4,2497.67,2487.04,2490.83
2017-07-03 04-AM,2490.83,2499.92,2487.04,2498.92
2017-07-03 05-AM,2498.92,2499.99,2481.72,2497.61
2017-07-03 06-AM,2497.61,2499.99,2490.56,2499.98
2017-07-03 07-AM,2499.98,2502,2481.72,2481.72
2017-07-03 08-AM,2481.72,2492.19,2481.72,2483.72
2017-07-03 09-AM,2483.72,2493.77,2479.75,2489.09
2017-07-03 10-AM,2489.09,2496.13,2480.11,2482.09
2017-07-03 11-AM,2482.09,2502.3,2479.75,2502.3
2017-07-03 12-PM,2502.3,2524,2502.05,2519.38
2017-07-03 01-PM,2519.38,2570,2518.46,2560
2017-07-03 02-PM,2560,2584.78,2539.37,2550
2017-07-03 03-PM,2550,2576.45,2543.83,2569.98
2017-07-03 04-PM,2569.98,2573.97,2555,2563
2017-07-03 05-PM,2563,2564.92,2550,2552.37
2017-07-03 06-PM,2552.37,2553.62,2526.83,2528.8
2017-07-03 07-PM,2528.8,2548.02,2528.1,2547.43
2017-07-03 08-PM,2547.43,2559.12,2547.16,2556.02
2017-07-03 09-PM,2556.02,2559.99,2550,2559.98
2017-07-03 10-PM,2559.98,2573.84,2552.01,2554.4
2017-07-03 11-PM,2554.4,2557.15,2541.9,2542.41
2017-07-04 12-AM,2542.41,2564,2542.18,2560.93
2017-07-04 01-AM,2560.93,2570,2560.92,2566.27
2017-07-04 02-AM,2566.27,2610.77,2566,2607.1
2017-07-04 03-AM,2607.1,2625,2601,2616.28
2017-07-04 04-AM,2616.28,2625.47,2605.17,2620
2017-07-04 05-AM,2620,2636.04,2611.3,2621
2017-07-04 06-AM,2621,2628.15,2615,2625.9
2017-07-04 07-AM,2625.9,2636.1,2621.02,2630.93
2017-07-04 08-AM,2630.93,2630.93,2594.49,2594.49
2017-07-04 09-AM,2594.49,2609.99,2593.86,2605.1
2017-07-04 10-AM,2605.1,2605.12,2581.12,2594.83
